id,customer_id,transaction_date,order_status,shipping_info
233,CUST0233,2024-07-01,Delivered,USPS Tracking #kls93194
234,CUST0234,2024-06-10,Delivered,FedEx Tracking #nZk07124
235,CUST0235,2025-01-17,Delivered,DHL Tracking #Xlc58606
236,CUST0236,2024-09-15,Delivered,FedEx Tracking #ydS28817
237,CUST0237,2024-11-27,Cancelled,FedEx Tracking #awA35635
238,CUST0238,2024-08-22,Cancelled,USPS Tracking #ysH81843
239,CUST0239,2024-07-01,Delivered,FedEx Tracking #MWM98951
240,CUST0240,2024-10-25,Cancelled,USPS Tracking #xMg17744
241,CUST0241,2024-08-30,Delivered,USPS Tracking #Pyl46253
242,CUST0242,2024-06-27,Shipped,DHL Tracking #Owp61098
243,CUST0243,2025-02-21,Processing,USPS Tracking #mdK87248
244,CUST0244,2024-09-18,Delivered,USPS Tracking #TIj21655
245,CUST0245,2025-05-21,Delivered,UPS Tracking #hRV02299
246,CUST0246,2025-04-25,Processing,FedEx Tracking #xyT60112
247,CUST0247,2025-05-28,Delivered,DHL Tracking #FaU48577
248,CUST0248,2024-06-27,Delivered,DHL Tracking #YxT97334
249,CUST0249,2024-10-23,Delivered,DHL Tracking #aaV46400
250,CUST0250,2025-03-08,Processing,DHL Tracking #OjU51889
251,CUST0251,2025-04-16,Cancelled,UPS Tracking #slY02220
252,CUST0252,2024-08-08,Processing,DHL Tracking #iqt67741
253,CUST0253,2024-08-15,Delivered,DHL Tracking #xrw42079
254,CUST0254,2024-11-25,Shipped,FedEx Tracking #NiU49019
255,CUST0255,2025-01-27,Processing,FedEx Tracking #yND20665
256,CUST0256,2025-03-21,Cancelled,DHL Tracking #eqO83308
257,CUST0257,2024-11-23,Processing,FedEx Tracking #fJQ51500
258,CUST0258,2025-06-05,Processing,UPS Tracking #MEE89164
259,CUST0259,2024-11-01,Shipped,FedEx Tracking #XtU91962
260,CUST0260,2024-12-10,Delivered,FedEx Tracking #XMx24094
261,CUST0261,2025-02-22,Shipped,USPS Tracking #xZy25305
262,CUST0262,2025-01-01,Cancelled,FedEx Tracking #VRn56947
263,CUST0263,2024-11-09,Shipped,UPS Tracking #ZeK44210
264,CUST0264,2024-06-27,Shipped,FedEx Tracking #CMe69518
265,CUST0265,2024-12-27,Cancelled,FedEx Tracking #CCz00284
266,CUST0266,2024-10-14,Shipped,FedEx Tracking #unN29307
267,CUST0267,2024-10-31,Shipped,USPS Tracking #vQI20769
268,CUST0268,2025-01-25,Processing,USPS Tracking #MNx71472
269,CUST0269,2024-12-30,Processing,DHL Tracking #KwM50162
270,CUST0270,2025-01-03,Delivered,USPS Tracking #UyV98847
271,CUST0271,2025-03-25,Shipped,FedEx Tracking #dyb57841
272,CUST0272,2025-03-23,Cancelled,DHL Tracking #nwV04886
273,CUST0273,2025-05-22,Shipped,UPS Tracking #wga33991
274,CUST0274,2025-02-24,Delivered,DHL Tracking #aWY28399
275,CUST0275,2024-10-05,Cancelled,FedEx Tracking #UOw40407
276,CUST0276,2024-11-02,Cancelled,UPS Tracking #XoK19421
277,CUST0277,2024-09-18,Shipped,USPS Tracking #Agj20578
278,CUST0278,2025-02-05,Delivered,UPS Tracking #Ufq60697
279,CUST0279,2025-04-09,Cancelled,DHL Tracking #Yjq87838
280,CUST0280,2025-05-17,Delivered,DHL Tracking #gUx36027
281,CUST0281,2024-07-13,Delivered,FedEx Tracking #ygO41837
282,CUST0282,2024-10-16,Delivered,USPS Tracking #NCA17660
283,CUST0283,2025-02-02,Shipped,UPS Tracking #sNV20360
284,CUST0284,2024-10-23,Cancelled,DHL Tracking #bIX91021
285,CUST0285,2024-08-02,Delivered,FedEx Tracking #Myf66521
286,CUST0286,2025-04-15,Cancelled,FedEx Tracking #JjK86665
287,CUST0287,2025-02-28,Delivered,DHL Tracking #wAa87379
288,CUST0288,2024-10-04,Shipped,DHL Tracking #lFS11686
289,CUST0289,2024-12-18,Processing,USPS Tracking #bKc03630
290,CUST0290,2025-03-31,Processing,UPS Tracking #Ayg40000
291,CUST0291,2024-11-16,Cancelled,DHL Tracking #eqk51066
292,CUST0292,2025-02-05,Processing,UPS Tracking #glL38984
293,CUST0293,2024-07-16,Delivered,FedEx Tracking #aYb72854
294,CUST0294,2024-09-21,Delivered,USPS Tracking #bTt49727
295,CUST0295,2024-06-10,Delivered,FedEx Tracking #WDJ92266
296,CUST0296,2025-06-07,Delivered,FedEx Tracking #EgA19147
297,CUST0297,2025-01-26,Processing,FedEx Tracking #dXQ00136
298,CUST0298,2024-09-04,Cancelled,UPS Tracking #Eny65483
299,CUST0299,2024-08-30,Shipped,UPS Tracking #xGV98931
300,CUST0300,2024-09-24,Delivered,FedEx Tracking #QLq95444
